ATB ID,solvent,value,error_estimate,formula,inchi
8,water,7.77,1.47,C4H10,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3"
8,hexane,-10.79,1.43,C4H10,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3"
10,water,-10.31,1.22,CH4S,"InChI=1S/CH4S/c1-2/h2H,1H3"
10,hexane,-8.8,0.8,CH4S,"InChI=1S/CH4S/c1-2/h2H,1H3"
12,water,-7.91,1.42,C3H8S,"InChI=1S/C3H8S/c1-3-4-2/h3H2,1-2H3"
12,hexane,-14.91,1.29,C3H8S,"InChI=1S/C3H8S/c1-3-4-2/h3H2,1-2H3"
14,water,-27.07,0.62,C9H9N,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3"
17,water,-25.58,1.49,C7H8O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
17,hexane,-22.73,1.44,C7H8O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
18,water,9.01,1.11,C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
18,hexane,-8.46,1.15,C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
19,water,-35.81,1.38,C3H7NO,"InChI=1S/C3H7NO/c1-2-3(4)5/h2H2,1H3,(H2,4,5)"
19,hexane,-14.01,1.45,C3H7NO,"InChI=1S/C3H7NO/c1-2-3(4)5/h2H2,1H3,(H2,4,5)"
20,water,-24.93,0.49,C3H6O2,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
20,hexane,-14.51,1.31,C3H6O2,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
21,water,-1.23,0.5,C7H8,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
21,hexane,-19.11,0.73,C7H8,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
22,water,-28.04,0.44,C2H4O2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
22,hexane,-11.89,0.98,C2H4O2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
113,water,-20.98,1.07,C3H8O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
113,hexane,-11.34,1.15,C3H8O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
125,water,-64.6,1.37,C4H3BrN2O2,"InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
125,hexane,-35.75,1.27,C4H3BrN2O2,"InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
144,water,-22.95,1.4,C7H9N,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3"
144,hexane,-23.6,1.24,C7H9N,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3"
153,water,-19.33,1.15,C7H9N,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3"
153,hexane,-22.8,1.31,C7H9N,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3"
244,water,-29.0,0.93,C7H7NO,"InChI=1S/C7H8NO/c1-6(9)7-3-2-4-8-5-7/h2-5,7H,1H3"
262,water,-35.27,0.93,C6H8N2,"InChI=1S/C6H8N2/c7-5-2-1-3-6(8)4-5/h1-4H,7-8H2"
362,water,-46.06,1.3,C4H6N2,"InChI=1S/C4H7N2/c1-6-3-2-5-4-6/h2,4H,3H2,1H3"
451,water,9.23,0.38,C2H6,"InChI=1S/C2H6/c1-2/h1-2H3"
451,hexane,-3.7,0.92,C2H6,"InChI=1S/C2H6/c1-2/h1-2H3"
461,water,-91.38,0.9,C6H12O6,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
467,water,10.27,1.27,C6H14,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
467,hexane,-16.61,0.7,C6H14,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
480,water,-44.89,0.84,C4H6N2,"InChI=1S/C4H7N2/c1-4-2-5-3-6-4/h3,5H,2H2,1H3"
480,hexane,-21.22,1.32,C4H6N2,"InChI=1S/C4H7N2/c1-4-2-5-3-6-4/h3,5H,2H2,1H3"
