ATB ID,solvent,value,reported_error,ref,datasets,formula,inchi
1741,water,-84.94,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C15H16N4O5S,"InChI=1S/C15H17N4O5S/c1-9-8-10(2)17-14(16-9)18-15(21)19-25(22,23)12-7-5-4-6-11(12)13(20)24-3/h4-7H,8H2,1-3H3,(H2,18,19,21)"
1854,water,-66.23,5.1,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C4H3ClN2O2,"InChI=1S/C4H3ClN2O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H2,6,7,8,9)"
1867,water,-9.75,4.85,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C6Cl6,"InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9"
1910,water,-8.79,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.,Mobley et al.",C4H9NO3,"InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3"
1913,water,-34.31,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C2H5NO4,"InChI=1S/C2H5NO4/c4-1-2-7-3(5)6/h4H,1-2H2"
1915,water,-32.22,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C9H17N5S,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6,10-11H,5H2,1-4H3"
1917,water,-14.69,8.08,10.1021/jp806724u,"SAMPL1,Marenich et al.,Mobley et al.",C13H16F3N3O4,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3"
1918,water,-41.0,8.0,10.1021/jp806724u,"SAMPL1",C9H13BrN2O2,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)/t5-/m1/s1"
1919,water,-37.7,8.08,10.1021/jp806724u,"Mobley et al.,SAMPL1",C9H8Cl3NO2S,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6-/m1/s1"
1920,water,-39.75,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1,Mobley et al.",C12H11NO2,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)"
1925,water,-6.28,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",CCl3NO2,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7"
1928,water,-41.42,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1,Mobley et al.",C8H6Cl2O3,"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)"
1929,water,-19.71,8.08,10.1021/jp806724u,"Marenich et al.,Mobley et al.,SAMPL1",C7H3Cl2N,"InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H"
1933,water,-10.88,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Mobley et al.,Marenich et al.",C10H5Cl7,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H/t3-,4-,5-,8-,9+/m0/s1"
1934,water,-21.76,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.,Mobley et al.",C9H14O,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3"
1938,water,-33.47,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C13H19N3O6S,"InChI=1S/C13H19N3O6S/c1-4-6-14(7-5-2)13-11(15(17)18)8-10(23(3,21)22)9-12(13)16(19)20/h8-9H,4-7H2,1-3H3"
1939,water,-25.1,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,SAMPL1,Marenich et al.",C3H5NO4,"InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3"
1940,water,-43.0,8.0,10.1021/jp806724u,"SAMPL1",C7H13N3O3S,"InChI=1S/C7H13N3O3S/c1-8-7(12)13-9-5(14-4)6(11)10(2)3/h1-4H3,(H,8,12)/b9-5-"
1941,water,-28.03,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C10H14NO5PS,"InChI=1S/C10H16NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8,17-18H,3-4H2,1-2H3"
1942,water,-15.23,8.08,10.1021/jp806724u,"Mobley et al.,SAMPL1,Marenich et al.",C10H21NOS,"InChI=1S/C10H21NOS/c1-4-7-8-11(6-3)10(12)13-9-5-2/h4-9H2,1-3H3"
1945,water,-35.15,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1",C10H19N5S,"InChI=1S/C10H19N5S/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7,11-12H,1-5H3"
