ATB ID,solvent,value,reported_error,ref,datasets,formula,inchi
8,water,9.62,0.84,10.1039/P29900000291,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber",C4H10,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3"
10,water,-5.19,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Shivakumar et al.",CH4S,"InChI=1S/CH4S/c1-2/h2H,1H3"
12,water,-6.28,0.84,10.1039/P29900000291,"Mobley et al.,Boulanger et al.,Dodda et al.",C3H8S,"InChI=1S/C3H8S/c1-3-4-2/h3H2,1-2H3"
14,water,-24.7,None,10.1007/bf00646936,"Gerber,Shivakumar et al.,Mobley et al.",C9H9N,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3"
17,water,-25.65,2.51,10.1021/ct050097l,"Shivakumar et al.,Gerber,Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.",C7H8O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
18,water,8.37,0.84,10.1039/P29900000291,"Mobley et al.,Gerber,Shivakumar et al.,Dodda et al.,Marenich et al.,Boulanger et al.",C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
19,water,-39.33,0.84,10.1039/P29900000291,"Gerber,Boulanger et al.,Mobley et al.,Shivakumar et al.",C3H7NO,"InChI=1S/C3H7NO/c1-2-3(4)5/h2H2,1H3,(H2,4,5)"
20,water,-27.03,2.51,10.1021/ct050097l,"Shivakumar et al.,Boulanger et al.,Dodda et al.,Marenich et al.,Mobley et al.,Gerber",C3H6O2,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)"
21,water,-3.48,0.84,10.1039/P29900000291,"Dodda et al.,Gerber,Boulanger et al.,Mobley et al.,Marenich et al.,Shivakumar et al.",C7H8,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
22,water,-28.05,None,10.1007/bf00646936,"Shivakumar et al.,Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.,Gerber",C2H4O2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
